file,size,origin,legacy_keyword,current_keyword,suggested_path,confidence
caizen_backend_interface.ts,8236,caizen,False,False,docs/current/caizen_backend_interface.ts,low
caizen_nhost_setup.md,17193,caizen,False,True,docs/backend/caizen_nhost_setup.md,medium
org.caizen_caizen-v2-handover-doc.txt,19486,claude-artefact,False,True,docs/current/org.caizen_caizen-v2-handover-doc.txt,medium
org.caizen_caizen_session_summary_v2.md,23162,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_caizen_session_summary_v2.md,low
org.caizen_api-recommendations.md,4701,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_api-recommendations.md,low
org.caizen_project-instructions-v3_created_2025-09-29.md,17023,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_project-instructions-v3_created_2025-09-29.md,low
test_caizen_autosamling.md,0,caizen,False,False,docs/current/test_caizen_autosamling.md,low
org.caizen_bmw-e91-for-sale_example.html,17221,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_bmw-e91-for-sale_example.html,low
caizen_setup_script.sh,11467,caizen,False,False,docs/current/caizen_setup_script.sh,low
org.caizen_mycarsjournal-spec-v3.md,7178,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_mycarsjournal-spec-v3.md,low
caizen-build-safety-configs-2.txt,11405,caizen,False,False,docs/current/caizen-build-safety-configs-2.txt,low
org.caizen_mitt-garage.tsx,15349,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_mitt-garage.tsx,low
caizen-build-safety-configs.txt,11121,caizen,False,False,docs/current/caizen-build-safety-configs.txt,low
org.caizen_first iteration_caizen-dashboard.html,28377,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_first iteration_caizen-dashboard.html,low
caizen_vehicle_registration.ts,20191,caizen,False,False,docs/current/caizen_vehicle_registration.ts,low
caizen_github_structure.md,10156,caizen,False,False,docs/current/caizen_github_structure.md,low
org.caizen_bmw-m3-fuel-analysis_example.md,10225,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_bmw-m3-fuel-analysis_example.md,low
caizen_complete_package_json.json,2231,caizen,False,False,docs/current/caizen_complete_package_json.json,low
org.caizen_caizen-dev-status-sept-2025.md,14383,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_caizen-dev-status-sept-2025.md,low
caizen_type_definitions.ts,15399,caizen,False,False,docs/current/caizen_type_definitions.ts,low
caizen_nhost_package_json.json,2779,caizen,False,True,docs/backend/caizen_nhost_package_json.json,medium
org.caizen_bmw-m3-service-log_example.md,1548,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_bmw-m3-service-log_example.md,low
caizen_export_guide.md,12785,caizen,False,True,docs/current/caizen_export_guide.md,medium
caizen_backend_strategy.md,13201,caizen,False,True,docs/backend/caizen_backend_strategy.md,medium
caizen_supabase_adapter.ts,18450,caizen,False,True,docs/backend/caizen_supabase_adapter.ts,medium
org.caizen_caizen-v2-unified-dashboard.tsx,20337,claude-artefact,False,True,docs/current/org.caizen_caizen-v2-unified-dashboard.tsx,medium
org.caizen-mobile-dashboard_example.tsx,18367,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen-mobile-dashboard_example.tsx,low
test_CaiZen_script.sh,20,caizen,False,False,docs/current/test_CaiZen_script.sh,low
caizen_security_utils.ts,7434,caizen,False,True,docs/current/caizen_security_utils.ts,medium
caizen_type_definitions-2.ts,15643,caizen,False,False,docs/current/caizen_type_definitions-2.ts,low
test_CaiZen_doc.md,13,caizen,False,False,docs/current/test_CaiZen_doc.md,low
org.caizen_bmw-m3-detailed-report_example.md,9905,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_bmw-m3-detailed-report_example.md,low
org.caizen_updated-product-spec.md,20077,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_updated-product-spec.md,low
org.caizen_funktionsförklaring-explanation.html,12147,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_funktionsförklaring-explanation.html,low
caizen_installation_guide.md,12243,caizen,False,True,docs/current/caizen_installation_guide.md,medium
org.caizen_tech-arch-v3.md,5283,claude-artefact,False,False,docs/legacy/UNSORTED/org.caizen_tech-arch-v3.md,low
